"","County","Year","Count_ExHeat_Days"
"2095","Anson",2009,92
"2096","Anson",2010,92
"2097","Anson",2011,99
"2098","Anson",2012,67
"2099","Anson",2013,14
"2100","Anson",2014,55
"2101","Anson",2015,71
"2102","Anson",2016,75
"2103","Anson",2017,45
"2104","Anson",2018,73
"2105","Anson",2019,76
"2106","Anson",2020,40
"2107","Anson",2021,51
"2137","Anson",2008,60
"2138","Anson",2009,92
"2139","Anson",2010,93
"2140","Anson",2011,99
"2141","Anson",2012,70
"2142","Anson",2013,17
"2143","Anson",2014,56
"2144","Anson",2015,73
"2145","Anson",2016,78
"2146","Anson",2017,46
"2147","Anson",2018,74
"2148","Anson",2019,77
"2149","Anson",2020,45
"2150","Anson",2021,54
"2180","Anson",2008,57
"2181","Anson",2009,92
"2182","Anson",2010,92
"2183","Anson",2011,99
"2184","Anson",2012,66
"2185","Anson",2013,16
"2186","Anson",2014,55
"2187","Anson",2015,71
"2188","Anson",2016,76
"2189","Anson",2017,44
"2190","Anson",2018,73
"2191","Anson",2019,77
"2192","Anson",2020,41
"2193","Anson",2021,53
"2223","Anson",2008,51
"2224","Anson",2009,100
"2225","Anson",2010,93
"2226","Anson",2011,99
"2227","Anson",2012,62
"2228","Anson",2013,15
"2229","Anson",2014,65
"2230","Anson",2015,74
"2231","Anson",2016,79
"2232","Anson",2017,43
"2233","Anson",2018,72
"2234","Anson",2019,83
"2235","Anson",2020,44
"2236","Anson",2021,57
"2266","Ashe",2008,0
"2267","Ashe",2009,0
"2268","Ashe",2010,0
"2269","Ashe",2011,0
"2270","Ashe",2012,0
"2271","Ashe",2013,0
"2272","Ashe",2014,0
"2273","Ashe",2015,0
"2274","Ashe",2016,0
"2275","Ashe",2017,0
"2276","Ashe",2018,0
"2277","Ashe",2019,0
"2278","Ashe",2020,0
"2279","Ashe",2021,0
"2309","Ashe",2008,0
"2310","Ashe",2009,0
"2311","Ashe",2010,0
"2312","Ashe",2011,0
"2313","Ashe",2012,0
"2314","Ashe",2013,0
"2315","Ashe",2014,0
"2316","Ashe",2015,0
"2317","Ashe",2016,0
"2318","Ashe",2017,0
"2319","Ashe",2018,0
"2320","Ashe",2019,0
"2321","Ashe",2020,0
"2322","Ashe",2021,0
"2352","Ashe",2008,0
"2353","Ashe",2009,0
"2354","Ashe",2010,0
"2355","Ashe",2011,0
"2356","Ashe",2012,0
"2357","Ashe",2013,0
"2358","Ashe",2014,0
"2359","Ashe",2015,0
"2360","Ashe",2016,0
"2361","Ashe",2017,0
"2362","Ashe",2018,0
"2363","Ashe",2019,0
"2364","Ashe",2020,0
"2365","Ashe",2021,0
"2395","Ashe",2008,0
"2396","Ashe",2009,0
"2397","Ashe",2010,0
"2398","Ashe",2011,0
"2399","Ashe",2012,0
"2400","Ashe",2013,0
"2401","Ashe",2014,0
"2402","Ashe",2015,0
"2403","Ashe",2016,0
"2404","Ashe",2017,0
"2405","Ashe",2018,0
"2406","Ashe",2019,0
"2407","Ashe",2020,0
"2408","Ashe",2021,0
"2438","Ashe",2008,0
"2439","Ashe",2009,0
"2440","Ashe",2010,0
"2441","Ashe",2011,0
"2442","Ashe",2012,0
"2443","Ashe",2013,0
"2444","Ashe",2014,0
"2445","Ashe",2015,0
"2446","Ashe",2016,0
"2447","Ashe",2017,0
"2448","Ashe",2018,0
"2449","Ashe",2019,0
"2450","Ashe",2020,0
"2451","Ashe",2021,0
"2481","Ashe",2008,0
"2482","Ashe",2009,0
"2483","Ashe",2010,0
"2484","Ashe",2011,0
"2485","Ashe",2012,0
"2486","Ashe",2013,0
"2487","Ashe",2014,0
"2488","Ashe",2015,0
"2489","Ashe",2016,0
"2490","Ashe",2017,0
"2491","Ashe",2018,0
"2492","Ashe",2019,0
"2493","Ashe",2020,0
"2494","Ashe",2021,0
"2524","Avery",2008,0
"2525","Avery",2009,0
"2526","Avery",2010,0
"2527","Avery",2011,0
"2528","Avery",2012,0
"2529","Avery",2013,0
"2530","Avery",2014,0
"2531","Avery",2015,0
"2532","Avery",2016,0
"2533","Avery",2017,0
"2534","Avery",2018,0
"2535","Avery",2019,0
"2536","Avery",2020,0
"2537","Avery",2021,0
"2567","Avery",2008,0
"2568","Avery",2009,0
"2569","Avery",2010,0
"2570","Avery",2011,0
"2571","Avery",2012,0
"2572","Avery",2013,0
"2573","Avery",2014,0
"2574","Avery",2015,0
"2575","Avery",2016,0
"2576","Avery",2017,0
"2577","Avery",2018,0
"2578","Avery",2019,0
"2579","Avery",2020,0
"2580","Avery",2021,0
"2610","Avery",2008,0
"2611","Avery",2009,0
"2612","Avery",2010,0
"2613","Avery",2011,0
"2614","Avery",2012,0
"2615","Avery",2013,0
"2616","Avery",2014,0
"2617","Avery",2015,0
"2618","Avery",2016,0
"2619","Avery",2017,0
"2620","Avery",2018,0
"2621","Avery",2019,0
"2622","Avery",2020,0
"2623","Avery",2021,0
"2653","Avery",2008,0
"2654","Avery",2009,0
"2655","Avery",2010,0
"2656","Avery",2011,0
"2657","Avery",2012,0
"2658","Avery",2013,0
"2659","Avery",2014,0
"2660","Avery",2015,0
"2661","Avery",2016,0
"2662","Avery",2017,0
"2663","Avery",2018,0
"2664","Avery",2019,0
"2665","Avery",2020,0
"2666","Avery",2021,0
"2696","Avery",2008,0
"2697","Avery",2009,0
"2698","Avery",2010,0
"2699","Avery",2011,0
"2700","Avery",2012,0
"2701","Avery",2013,0
"2702","Avery",2014,0
"2703","Avery",2015,0
"2704","Avery",2016,0
"2705","Avery",2017,0
"2706","Avery",2018,0
"2707","Avery",2019,0
"2708","Avery",2020,0
"2709","Avery",2021,0
"2739","Beaufort",2008,35
"2740","Beaufort",2009,50
"2741","Beaufort",2010,58
"2742","Beaufort",2011,53
"2743","Beaufort",2012,36
"2744","Beaufort",2013,13
"2745","Beaufort",2014,33
"2746","Beaufort",2015,30
"2747","Beaufort",2016,33
"2748","Beaufort",2017,18
"2749","Beaufort",2018,16
"2750","Beaufort",2019,42
"2751","Beaufort",2020,25
"2752","Beaufort",2021,16
"2782","Beaufort",2008,41
"2783","Beaufort",2009,65
"2784","Beaufort",2010,75
"2785","Beaufort",2011,74
"2786","Beaufort",2012,44
"2787","Beaufort",2013,26
"2788","Beaufort",2014,45
"2789","Beaufort",2015,41
"2790","Beaufort",2016,38
"2791","Beaufort",2017,18
"2792","Beaufort",2018,21
"2793","Beaufort",2019,51
"2794","Beaufort",2020,30
"2795","Beaufort",2021,24
"2825","Beaufort",2008,42
"2826","Beaufort",2009,70
"2827","Beaufort",2010,75
"2828","Beaufort",2011,73
"2829","Beaufort",2012,44
"2830","Beaufort",2013,25
"2831","Beaufort",2014,45
"2832","Beaufort",2015,38
"2833","Beaufort",2016,37
"2834","Beaufort",2017,18
"2835","Beaufort",2018,21
"2836","Beaufort",2019,52
"2837","Beaufort",2020,32
"2838","Beaufort",2021,21
"2868","Beaufort",2008,42
"2869","Beaufort",2009,70
"2870","Beaufort",2010,75
"2871","Beaufort",2011,73
"2872","Beaufort",2012,44
"2873","Beaufort",2013,25
"2874","Beaufort",2014,45
"2875","Beaufort",2015,38
"2876","Beaufort",2016,37
"2877","Beaufort",2017,18
"2878","Beaufort",2018,21
"2879","Beaufort",2019,52
"2880","Beaufort",2020,32
"2881","Beaufort",2021,21
"2911","Beaufort",2008,37
"2912","Beaufort",2009,65
"2913","Beaufort",2010,74
"2914","Beaufort",2011,71
"2915","Beaufort",2012,43
"2916","Beaufort",2013,17
"2917","Beaufort",2014,41
"2918","Beaufort",2015,36
"2919","Beaufort",2016,35
"2920","Beaufort",2017,17
"2921","Beaufort",2018,20
"2922","Beaufort",2019,50
"2923","Beaufort",2020,28
"2924","Beaufort",2021,19
"2954","Beaufort",2008,37
"2955","Beaufort",2009,64
"2956","Beaufort",2010,71
"2957","Beaufort",2011,70
"2958","Beaufort",2012,43
"2959","Beaufort",2013,16
"2960","Beaufort",2014,40
"2961","Beaufort",2015,35
"2962","Beaufort",2016,35
"2963","Beaufort",2017,17
"2964","Beaufort",2018,19
"2965","Beaufort",2019,48
"2966","Beaufort",2020,28
"2967","Beaufort",2021,16
"2997","Beaufort",2008,38
"2998","Beaufort",2009,61
"2999","Beaufort",2010,67
"3000","Beaufort",2011,69
"3001","Beaufort",2012,40
"3002","Beaufort",2013,13
"3003","Beaufort",2014,35
"3004","Beaufort",2015,31
"3005","Beaufort",2016,34
"3006","Beaufort",2017,17
"3007","Beaufort",2018,18
"3008","Beaufort",2019,47
"3009","Beaufort",2020,25
"3010","Beaufort",2021,18
"3040","Beaufort",2008,35
"3041","Beaufort",2009,54
"3042","Beaufort",2010,61
"3043","Beaufort",2011,51
"3044","Beaufort",2012,38
"3045","Beaufort",2013,12
"3046","Beaufort",2014,31
"3047","Beaufort",2015,28
"3048","Beaufort",2016,31
"3049","Beaufort",2017,17
"3050","Beaufort",2018,16
"3051","Beaufort",2019,41
"3052","Beaufort",2020,23
"3053","Beaufort",2021,14
"3083","Beaufort",2008,36
"3084","Beaufort",2009,56
"3085","Beaufort",2010,61
"3086","Beaufort",2011,58
"3087","Beaufort",2012,37
"3088","Beaufort",2013,11
"3089","Beaufort",2014,30
"3090","Beaufort",2015,28
"3091","Beaufort",2016,31
"3092","Beaufort",2017,16
"3093","Beaufort",2018,13
"3094","Beaufort",2019,43
"3095","Beaufort",2020,21
"3096","Beaufort",2021,12
"3126","Beaufort",2008,38
"3127","Beaufort",2009,67
"3128","Beaufort",2010,76
"3129","Beaufort",2011,71
"3130","Beaufort",2012,43
"3131","Beaufort",2013,15
"3132","Beaufort",2014,41
"3133","Beaufort",2015,33
"3134","Beaufort",2016,33
"3135","Beaufort",2017,17
