"","County","Year","Days.with.AQI","Median.AQI","Max.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days"
"468","Lenoir",2010,260,44,140,184,74,2,0,0,0
"469","Lincoln",2010,212,46,143,130,74,8,0,0,0
"470","Macon",2010,356,36,129,323,31,2,0,0,0
"471","Martin",2010,357,42,133,245,109,3,0,0,0
"472","McDowell",2010,362,40,77,255,107,0,0,0,0
"473","Mecklenburg",2010,365,54,177,159,182,20,4,0,0
"474","Mitchell",2010,121,40,67,88,33,0,0,0,0
"475","Montgomery",2010,331,41,129,247,80,4,0,0,0
"476","New Hanover",2010,360,38,129,296,63,1,0,0,0
"477","Person",2010,213,48,129,123,79,11,0,0,0
"478","Pitt",2010,257,44,136,175,79,3,0,0,0
"479","Robeson",2010,121,41,83,84,37,0,0,0,0
"480","Rockingham",2010,214,49,156,117,88,8,1,0,0
"481","Rowan",2010,365,51,169,180,164,20,1,0,0
"482","Swain",2010,359,43,97,243,116,0,0,0,0
"483","Union",2010,221,45,115,139,75,7,0,0,0
"484","Wake",2010,365,50,143,183,173,9,0,0,0
"485","Watauga",2010,119,35,71,93,26,0,0,0,0
"486","Wayne",2010,356,43,92,243,113,0,0,0,0
"487","Yancey",2010,211,48,129,130,74,7,0,0,0
"488","Alamance",2009,360,42,75,254,106,0,0,0,0
"489","Alexander",2009,202,38,93,175,27,0,0,0,0
"490","Avery",2009,362,40,93,317,45,0,0,0,0
"491","Buncombe",2009,363,40,97,272,91,0,0,0,0
"492","Caldwell",2009,213,37,90,190,23,0,0,0,0
"493","Carteret",2009,309,35,93,291,18,0,0,0,0
"494","Caswell",2009,362,44,101,244,117,1,0,0,0
"495","Catawba",2009,362,42,87,237,125,0,0,0,0
"496","Chatham",2009,263,36,101,224,38,1,0,0,0
"497","Cumberland",2009,362,45,122,235,124,3,0,0,0
"498","Davidson",2009,360,43,81,242,118,0,0,0,0
"499","Davie",2009,210,41,100,165,45,0,0,0,0
"500","Duplin",2009,116,30,67,98,18,0,0,0,0
"501","Durham",2009,348,42,97,255,93,0,0,0,0
"502","Edgecombe",2009,269,40,101,216,52,1,0,0,0
"503","Forsyth",2009,365,48,164,200,162,2,1,0,0
"504","Franklin",2009,212,39,97,180,32,0,0,0,0
"505","Gaston",2009,360,41,88,250,110,0,0,0,0
"506","Graham",2009,184,44,101,142,41,1,0,0,0
"507","Granville",2009,214,43,108,170,41,3,0,0,0
"508","Guilford",2009,364,45,115,241,119,4,0,0,0
"509","Haywood",2009,264,44,100,195,69,0,0,0,0
"510","Henderson",2009,53,12,28,53,0,0,0,0,0
"511","Hyde",2009,116,26,69,107,9,0,0,0,0
"512","Jackson",2009,257,43,87,212,45,0,0,0,0
"513","Johnston",2009,260,39,90,205,55,0,0,0,0
"514","Lenoir",2009,281,38,90,237,44,0,0,0,0
"515","Lincoln",2009,214,40,90,172,42,0,0,0,0
"516","Macon",2009,334,33,90,315,19,0,0,0,0
"517","Martin",2009,342,38,97,275,67,0,0,0,0
"518","McDowell",2009,364,38,78,258,106,0,0,0,0
"519","Mecklenburg",2009,365,49,133,191,166,8,0,0,0
"520","Mitchell",2009,112,36,68,86,26,0,0,0,0
"521","Montgomery",2009,340,37,108,293,46,1,0,0,0
"522","New Hanover",2009,356,35,79,310,46,0,0,0,0
"523","Person",2009,214,42,101,178,35,1,0,0,0
"524","Pitt",2009,269,39,90,230,39,0,0,0,0
"525","Robeson",2009,117,36,68,88,29,0,0,0,0
"526","Rockingham",2009,214,42,101,172,41,1,0,0,0
"527","Rowan",2009,365,46,129,211,146,8,0,0,0
"528","Swain",2009,365,39,84,288,77,0,0,0,0
"529","Union",2009,210,42,133,168,40,2,0,0,0
"530","Wake",2009,365,47,112,219,143,3,0,0,0
"531","Watauga",2009,117,30,67,101,16,0,0,0,0
"532","Wayne",2009,359,38,81,262,97,0,0,0,0
"533","Yancey",2009,191,44,93,150,41,0,0,0,0
"534","Alamance",2008,359,50,138,189,169,1,0,0,0
"535","Alexander",2008,211,46,147,132,68,11,0,0,0
"536","Avery",2008,359,44,129,263,92,4,0,0,0
"537","Buncombe",2008,364,45,133,215,145,4,0,0,0
"538","Caldwell",2008,214,48,126,141,66,7,0,0,0
"539","Carteret",2008,216,33,80,205,11,0,0,0,0
"540","Caswell",2008,366,47,159,201,153,10,2,0,0
"541","Catawba",2008,365,54,97,154,211,0,0,0,0
"542","Chatham",2008,263,43,159,190,68,4,1,0,0
"543","Cumberland",2008,362,51,143,176,171,15,0,0,0
"544","Davidson",2008,354,51,141,174,179,1,0,0,0
"545","Davie",2008,214,48,159,123,76,14,1,0,0
"546","Duplin",2008,109,41,78,68,41,0,0,0,0
"547","Durham",2008,356,51,143,177,172,7,0,0,0
"548","Edgecombe",2008,257,46,140,159,88,10,0,0,0
"549","Forsyth",2008,366,53,161,152,197,15,2,0,0
"550","Franklin",2008,214,45,133,139,64,11,0,0,0
"551","Gaston",2008,349,50,97,175,174,0,0,0,0
"552","Graham",2008,207,47,140,129,70,8,0,0,0
"553","Granville",2008,214,48,150,119,80,15,0,0,0
"554","Guilford",2008,365,52,159,173,182,8,2,0,0
"555","Haywood",2008,268,52,159,121,130,15,2,0,0
"556","Henderson",2008,53,15,34,53,0,0,0,0,0
"557","Hyde",2008,91,32,123,72,18,1,0,0,0
"558","Jackson",2008,104,42,92,69,35,0,0,0,0
"559","Johnston",2008,214,45,143,133,68,13,0,0,0
"560","Lenoir",2008,256,44,129,165,83,8,0,0,0
"561","Lincoln",2008,214,47,179,126,74,11,3,0,0
"562","Macon",2008,229,31,74,223,6,0,0,0,0
"563","Martin",2008,358,44,170,231,119,7,1,0,0
"564","McDowell",2008,362,50,152,186,174,1,1,0,0
"565","Mecklenburg",2008,366,55,190,136,200,25,5,0,0
"566","Mitchell",2008,119,40,80,84,35,0,0,0,0
"567","Montgomery",2008,349,43,147,253,88,8,0,0,0
"568","New Hanover",2008,183,41,116,151,31,1,0,0,0
"569","Orange",2008,90,48,78,49,41,0,0,0,0
"570","Person",2008,210,45,143,136,66,8,0,0,0
"571","Pitt",2008,260,46,178,155,93,11,1,0,0
"572","Robeson",2008,116,45,75,68,48,0,0,0,0
"573","Rockingham",2008,214,47,161,121,78,13,2,0,0
"574","Rowan",2008,366,54,174,154,181,28,3,0,0
"575","Swain",2008,365,48,100,202,163,0,0,0,0
"576","Union",2008,213,47,161,133,63,16,1,0,0
"577","Wake",2008,366,51,173,183,167,15,1,0,0
"578","Watauga",2008,123,37,85,93,30,0,0,0,0
"579","Wayne",2008,196,46,104,114,81,1,0,0,0
"580","Yancey",2008,166,50,133,87,73,6,0,0,0
