"","County","Year","Days.with.AQI","Median.AQI","Max.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days"
"107","Wake",2019,365,46,93,245,120,0,0,0,0
"108","Yancey",2019,244,45,87,191,53,0,0,0,0
"109","Alexander",2018,233,40,100,198,35,0,0,0,0
"110","Avery",2018,357,38,87,328,29,0,0,0,0
"111","Buncombe",2018,364,35,93,317,47,0,0,0,0
"112","Caldwell",2018,244,39,93,209,35,0,0,0,0
"113","Carteret",2018,222,38,77,202,20,0,0,0,0
"114","Caswell",2018,232,40,97,198,34,0,0,0,0
"115","Catawba",2018,352,32,77,297,55,0,0,0,0
"116","Cumberland",2018,349,38,100,284,65,0,0,0,0
"117","Davidson",2018,353,37,76,275,78,0,0,0,0
"118","Durham",2018,358,42,100,272,86,0,0,0,0
"119","Edgecombe",2018,354,33,80,321,33,0,0,0,0
"120","Forsyth",2018,365,44,101,243,120,2,0,0,0
"121","Graham",2018,195,43,93,165,30,0,0,0,0
"122","Granville",2018,233,42,93,193,40,0,0,0,0
"123","Guilford",2018,355,40,105,280,74,1,0,0,0
"124","Haywood",2018,280,44,105,225,54,1,0,0,0
"125","Hyde",2018,109,19,54,108,1,0,0,0,0
"126","Jackson",2018,237,41,108,191,45,1,0,0,0
"127","Johnston",2018,354,39,90,292,62,0,0,0,0
"128","Lee",2018,210,45,83,145,65,0,0,0,0
"129","Lenoir",2018,278,36,108,249,28,1,0,0,0
"130","Lincoln",2018,225,41,90,184,41,0,0,0,0
"131","Macon",2018,356,31,93,340,16,0,0,0,0
"132","Martin",2018,289,34,80,261,28,0,0,0,0
"133","Mecklenburg",2018,360,44,108,242,113,5,0,0,0
"134","Mitchell",2018,355,20,78,339,16,0,0,0,0
"135","Montgomery",2018,363,35,97,329,34,0,0,0,0
"136","New Hanover",2018,329,30,77,308,21,0,0,0,0
"137","Person",2018,233,40,97,206,27,0,0,0,0
"138","Pitt",2018,345,35,87,306,39,0,0,0,0
"139","Rockingham",2018,233,42,90,190,43,0,0,0,0
"140","Rowan",2018,336,35,74,322,14,0,0,0,0
"141","Swain",2018,363,36,80,309,54,0,0,0,0
"142","Union",2018,189,44,122,143,43,3,0,0,0
"143","Wake",2018,361,44,90,246,115,0,0,0,0
"144","Yancey",2018,230,44,84,184,46,0,0,0,0
"145","Alexander",2017,293,38,93,272,21,0,0,0,0
"146","Avery",2017,360,40,93,332,28,0,0,0,0
"147","Buncombe",2017,365,39,84,325,40,0,0,0,0
"148","Caldwell",2017,239,42,90,209,30,0,0,0,0
"149","Carteret",2017,341,35,64,330,11,0,0,0,0
"150","Caswell",2017,291,37,71,275,16,0,0,0,0
"151","Catawba",2017,348,33,86,282,66,0,0,0,0
"152","Cumberland",2017,365,43,100,268,97,0,0,0,0
"153","Davidson",2017,359,35,73,294,65,0,0,0,0
"154","Durham",2017,365,43,100,269,96,0,0,0,0
"155","Edgecombe",2017,362,37,80,319,43,0,0,0,0
"156","Forsyth",2017,365,43,100,290,75,0,0,0,0
"157","Graham",2017,227,43,87,200,27,0,0,0,0
"158","Granville",2017,243,43,93,210,33,0,0,0,0
"159","Guilford",2017,365,42,112,289,75,1,0,0,0
"160","Haywood",2017,282,44,84,232,50,0,0,0,0
"161","Hyde",2017,114,18,52,113,1,0,0,0,0
"162","Jackson",2017,256,44,100,206,50,0,0,0,0
"163","Johnston",2017,365,40,93,289,76,0,0,0,0
"164","Lee",2017,360,43,97,276,84,0,0,0,0
"165","Lenoir",2017,304,35,90,279,25,0,0,0,0
"166","Lincoln",2017,238,42,93,207,31,0,0,0,0
"167","Macon",2017,347,33,74,335,12,0,0,0,0
"168","Martin",2017,244,38,74,231,13,0,0,0,0
"169","Mecklenburg",2017,365,46,115,228,134,3,0,0,0
"170","Mitchell",2017,338,25,93,313,25,0,0,0,0
"171","Montgomery",2017,365,38,71,343,22,0,0,0,0
"172","New Hanover",2017,356,34,67,331,25,0,0,0,0
"173","Person",2017,242,41,74,220,22,0,0,0,0
"174","Pitt",2017,365,39,87,313,52,0,0,0,0
"175","Rockingham",2017,240,42,84,208,32,0,0,0,0
"176","Rowan",2017,355,38,80,331,24,0,0,0,0
"177","Swain",2017,365,38,71,309,56,0,0,0,0
"178","Union",2017,236,43,115,204,31,1,0,0,0
"179","Wake",2017,365,44,100,252,113,0,0,0,0
"180","Yancey",2017,202,44,93,155,47,0,0,0,0
"181","Alexander",2016,278,39,100,246,32,0,0,0,0
"182","Avery",2016,358,41,149,316,38,4,0,0,0
"183","Buncombe",2016,366,38,167,300,58,4,4,0,0
"184","Caldwell",2016,214,43,90,180,34,0,0,0,0
"185","Carteret",2016,327,36,93,308,19,0,0,0,0
"186","Caswell",2016,329,32,97,303,26,0,0,0,0
"187","Catawba",2016,358,36,153,276,79,1,2,0,0
"188","Cumberland",2016,358,41,93,278,80,0,0,0,0
"189","Davidson",2016,362,35,93,279,83,0,0,0,0
"190","Durham",2016,366,41,119,272,93,1,0,0,0
"191","Edgecombe",2016,356,34,97,305,51,0,0,0,0
"192","Forsyth",2016,366,42,119,269,94,3,0,0,0
"193","Graham",2016,213,45,112,162,50,1,0,0,0
"194","Granville",2016,213,41,97,179,34,0,0,0,0
"195","Guilford",2016,366,42,133,272,90,4,0,0,0
"196","Haywood",2016,265,44,142,207,54,4,0,0,0
"197","Hyde",2016,108,20,53,105,3,0,0,0,0
"198","Jackson",2016,271,45,154,179,83,7,2,0,0
"199","Johnston",2016,304,40,107,238,65,1,0,0,0
"200","Lee",2016,363,43,100,279,84,0,0,0,0
"201","Lenoir",2016,193,40,97,171,22,0,0,0,0
"202","Lincoln",2016,211,44,156,173,36,1,1,0,0
"203","Macon",2016,345,35,101,321,23,1,0,0,0
"204","Martin",2016,213,36,97,200,13,0,0,0,0
"205","Mecklenburg",2016,366,44,154,244,115,6,1,0,0
"206","Mitchell",2016,232,28,159,207,21,1,3,0,0
"207","Montgomery",2016,365,37,87,324,41,0,0,0,0
"208","New Hanover",2016,359,31,90,329,30,0,0,0,0
"209","Person",2016,214,40,101,192,21,1,0,0,0
"210","Pitt",2016,288,38,100,242,46,0,0,0,0
"211","Rockingham",2016,212,42,101,183,28,1,0,0,0
"212","Rowan",2016,360,37,97,313,47,0,0,0,0
"213","Swain",2016,365,40,174,280,73,8,4,0,0
"214","Union",2016,209,44,108,165,41,3,0,0,0
"215","Wake",2016,366,46,135,238,125,3,0,0,0
"216","Yancey",2016,204,46,115,145,55,4,0,0,0
"217","Alamance",2015,153,32,63,139,14,0,0,0,0
"218","Alexander",2015,209,43,90,173,36,0,0,0,0
"219","Avery",2015,353,40,90,316,37,0,0,0,0
"220","Buncombe",2015,363,36,87,314,49,0,0,0,0
"221","Caldwell",2015,207,42,97,173,34,0,0,0,0
"222","Carteret",2015,318,37,71,300,18,0,0,0,0
"223","Caswell",2015,358,40,87,279,79,0,0,0,0
"224","Catawba",2015,347,39,82,254,93,0,0,0,0
"225","Chatham",2015,212,38,64,197,15,0,0,0,0
"226","Cumberland",2015,305,41,93,250,55,0,0,0,0
"227","Davidson",2015,352,45,83,213,139,0,0,0,0
"228","Duplin",2015,326,26,66,301,25,0,0,0,0
"229","Durham",2015,359,41,87,258,101,0,0,0,0
"230","Edgecombe",2015,347,36,77,304,43,0,0,0,0
"231","Forsyth",2015,365,43,126,264,98,3,0,0,0
"232","Franklin",2015,211,43,93,171,40,0,0,0,0
"233","Gaston",2015,36,29,61,33,3,0,0,0,0
"234","Graham",2015,201,43,97,162,39,0,0,0,0
"235","Granville",2015,215,44,87,168,47,0,0,0,0
