"","County","Year","Count_ExHeat_Days","NC_Annual_Agv_ExHeatDays"
"185","Caldwell",2010,18,52.17
"186","Caldwell",2011,37,57.02
"187","Caldwell",2012,21,38.38
"188","Caldwell",2013,0,9.82
"189","Caldwell",2014,2,29.04
"190","Caldwell",2015,22,35.98
"191","Caldwell",2016,12,35
"192","Caldwell",2017,4,18.68
"193","Caldwell",2018,3,26.5
"194","Caldwell",2019,4,34.61
"195","Caldwell",2020,4,20.97
"196","Caldwell",2021,4,20.6
"197","Camden",2008,19,30.37
"198","Camden",2009,17,39.34
"199","Camden",2010,30,52.17
"200","Camden",2011,29,57.02
"201","Camden",2012,23,38.38
"202","Camden",2013,5,9.82
"203","Camden",2014,16,29.04
"204","Camden",2015,13,35.98
"205","Camden",2016,17,35
"206","Camden",2017,5,18.68
"207","Camden",2018,2,26.5
"208","Camden",2019,9,34.61
"209","Camden",2020,9,20.97
"210","Camden",2021,3,20.6
"211","Carteret",2008,0,30.37
"212","Carteret",2009,0,39.34
"213","Carteret",2010,0,52.17
"214","Carteret",2011,0,57.02
"215","Carteret",2012,0,38.38
"216","Carteret",2013,0,9.82
"217","Carteret",2014,0,29.04
"218","Carteret",2015,1,35.98
"219","Carteret",2016,0,35
"220","Carteret",2017,0,18.68
"221","Carteret",2018,0,26.5
"222","Carteret",2019,0,34.61
"223","Carteret",2020,0,20.97
"224","Carteret",2021,0,20.6
"225","Caswell",2008,43,30.37
"226","Caswell",2009,24,39.34
"227","Caswell",2010,63,52.17
"228","Caswell",2011,84,57.02
"229","Caswell",2012,59,38.38
"230","Caswell",2013,19,9.82
"231","Caswell",2014,47,29.04
"232","Caswell",2015,46,35.98
"233","Caswell",2016,45,35
"234","Caswell",2017,24,18.68
"235","Caswell",2018,39,26.5
"236","Caswell",2019,36,34.61
"237","Caswell",2020,30,20.97
"238","Caswell",2021,34,20.6
"239","Catawba",2008,42,30.37
"240","Catawba",2009,25,39.34
"241","Catawba",2010,46,52.17
"242","Catawba",2011,64,57.02
"243","Catawba",2012,46,38.38
"244","Catawba",2013,5,9.82
"245","Catawba",2014,11,29.04
"246","Catawba",2015,46,35.98
"247","Catawba",2016,44,35
"248","Catawba",2017,16,18.68
"249","Catawba",2018,30,26.5
"250","Catawba",2019,27,34.61
"251","Catawba",2020,14,20.97
"252","Catawba",2021,20,20.6
"253","Chatham",2008,43,30.37
"254","Chatham",2009,59,39.34
"255","Chatham",2010,81,52.17
"256","Chatham",2011,90,57.02
"257","Chatham",2012,60,38.38
"258","Chatham",2013,17,9.82
"259","Chatham",2014,53,29.04
"260","Chatham",2015,57,35.98
"261","Chatham",2016,52,35
"262","Chatham",2017,39,18.68
"263","Chatham",2018,52,26.5
"264","Chatham",2019,49,34.61
"265","Chatham",2020,35,20.97
"266","Chatham",2021,36,20.6
"267","Cherokee",2008,0,30.37
"268","Cherokee",2009,3,39.34
"269","Cherokee",2010,0,52.17
"270","Cherokee",2011,2,57.02
"271","Cherokee",2012,2,38.38
"272","Cherokee",2013,0,9.82
"273","Cherokee",2014,0,29.04
"274","Cherokee",2015,0,35.98
"275","Cherokee",2016,0,35
"276","Cherokee",2017,0,18.68
